arrival_tasks,available,bw_util,completed_tasks,cpu_util,delay_proc,delay_queue,delay_tx,dropped_tasks,effective_bits,energy_srv,energy_tx,handover,migration_cost,migration_freq,ops_count,queue_len,slot,solve_time_s,total_cost
3,0,0.5,1,0.0005,0.1,0.0,0.001409978802492494,4,1191710.9491097312,4e-15,1.409978802492494e-05,0,0.0,0,600000,[0. 0.],0,0.0005741119384765625,1.4099788028924939e-05
3,0,0.5,1,0.0005,0.1,0.0,0.0009465240231590186,4,800000.0,4e-15,9.465240231590185e-06,0,0.0,0,600000,[0. 0.],1,0.00036334991455078125,9.465240235590185e-06
3,0,0.5,1,0.0005,0.1,0.0,0.004376143660731275,4,3698706.892721789,4e-15,4.376143660731275e-05,0,0.0,0,600000,[0. 0.],2,0.0004229545593261719,4.3761436611312754e-05
3,0,0.5,1,0.0005,0.1,0.0,0.001023566355797443,4,865116.0082604528,4e-15,1.0235663557974431e-05,0,0.0,0,600000,[0. 0.],3,0.00040721893310546875,1.023566356197443e-05
3,0,0.5,1,0.0005,0.1,0.0,0.0009465240231590186,4,800000.0,4e-15,9.465240231590185e-06,0,0.0,0,600000,[0. 0.],4,0.0004162788391113281,9.465240235590185e-06
3,0,0.5,1,0.0005,0.1,0.0,0.0009465240231590186,4,800000.0,4e-15,9.465240231590185e-06,0,0.0,0,600000,[0. 0.],5,0.00039386749267578125,9.465240235590185e-06
3,0,0.5,1,0.0005,0.1,0.0,0.003112820816464665,4,2630949.233449474,4e-15,3.112820816464665e-05,0,0.0,0,600000,[0. 0.],6,0.0003895759582519531,3.112820816864665e-05
3,0,0.5,1,0.0005,0.1,0.0,0.0046223006165389,4,3906758.2044981793,4e-15,4.6223006165389e-05,0,0.0,0,600000,[0. 0.],7,0.0005192756652832031,4.6223006169389e-05
3,0,0.5,1,0.0005,0.1,0.0,0.0009465240231590186,4,800000.0,4e-15,9.465240231590185e-06,0,0.0,0,600000,[0. 0.],8,0.00038814544677734375,9.465240235590185e-06
3,0,0.5,1,0.0005,0.1,0.0,0.001419323365939533,4,1199608.953359725,4e-15,1.4193233659395329e-05,0,0.0,0,600000,[0. 0.],9,0.00039315223693847656,1.4193233663395329e-05
3,0,0.5,1,0.0005,0.1,0.0,0.004655635896545675,4,3934933.1090467344,4e-15,4.655635896545676e-05,0,0.0,0,600000,[0. 0.],10,0.0004038810729980469,4.655635896945676e-05
3,0,0.5,1,0.0005,0.1,0.0,0.002152127335129513,4,1818973.2389014703,4e-15,2.152127335129513e-05,0,0.0,0,600000,[0. 0.],11,0.0003790855407714844,2.1521273355295132e-05
3,0,0.5,1,0.0005,0.1,0.0,0.004237671994500596,4,3581670.948282867,4e-15,4.237671994500596e-05,0,0.0,0,600000,[0. 0.],12,0.0005161762237548828,4.237671994900596e-05
3,0,0.5,1,0.0005,0.1,0.0,0.0009743727816656432,4,823537.7087746211,4e-15,9.743727816656432e-06,0,0.0,0,600000,[0. 0.],13,0.0004668235778808594,9.743727820656431e-06
3,0,0.5,1,0.0005,0.1,0.0,0.002004789635662017,4,1694443.7428823353,4e-15,2.004789635662017e-05,0,0.0,0,600000,[0. 0.],14,0.0006244182586669922,2.004789636062017e-05
3,0,0.5,1,0.0005,0.1,0.0,0.004384394285117783,4,3705680.302109939,4e-15,4.3843942851177836e-05,0,0.0,0,600000,[0. 0.],15,0.0006592273712158203,4.384394285517784e-05
3,0,0.5,1,0.0005,0.1,0.0,0.0015172211887493506,4,1282351.9755457519,4e-15,1.5172211887493506e-05,0,0.0,0,600000,[0. 0.],16,0.0004279613494873047,1.5172211891493505e-05
3,0,0.5,1,0.0005,0.1,0.0,0.0018448169254361782,4,1559235.1638612296,4e-15,1.844816925436178e-05,0,0.0,0,600000,[0. 0.],17,0.00047779083251953125,1.8448169258361782e-05
3,0,0.5,1,0.0005,0.1,0.0,0.0030815320006565014,4,2604503.995891752,4e-15,3.081532000656502e-05,0,0.0,0,600000,[0. 0.],18,0.00038814544677734375,3.081532001056502e-05
3,0,0.5,1,0.0005,0.1,0.0,0.0026159465333602918,4,2210992.1940530026,4e-15,2.6159465333602917e-05,0,0.0,0,600000,[0. 0.],19,0.000461578369140625,2.6159465337602918e-05
