epsilon,C_mean,C_std,C_smoothed
1e-06,0.8840429415643045,0.4214806127086815,0.829726043277607
1.995e-06,0.7842542370728177,0.2964319246223931,0.8233030261646882
3.981e-06,0.8072337335947022,0.3823656134346105,0.8120995431677327
7.943e-06,0.820250182078091,0.3796824854062687,0.7972103385371836
1.5849e-05,0.8151235732657044,0.3709772054771386,0.7793647905155827
3.1623e-05,0.7512218273531405,0.4115826705514269,0.761956490029338
6.3096e-05,0.6813064173373719,0.40544610842977125,0.7519965364800463
0.000125893,0.7137939630751392,0.4227184294319425,0.7558850672765216
0.000251189,0.7275539035647596,0.3689072139960537,0.7735555416478896
0.000501187,0.8112414507461174,0.46414844376832864,0.7970246501198204
0.001,0.9626826047658593,0.4152176888133775,0.8155908706891897
0.001995262,0.7309238332852399,0.4478119806414074,0.8235342249687692
0.003981072,0.9413826994775631,0.3785619826255187,0.8235272284491312
0.007943282,0.6842561286660518,0.3401955840747232,0.8230300103965644
0.015848932,0.8382444035617341,0.38802711711383275,0.827302974140377
0.031622777,0.8469018335731034,0.28928282270665295,0.8350734578982593
0.063095734,0.8772544633355503,0.3283045255939721,0.8402037380866225
0.125892541,0.8650010481234804,0.39581676663376214,0.8373683822649589
0.251188643,0.8664710813191755,0.33008867519166585,0.8265591732817041
0.501187234,0.7479795913320518,0.3602064335380573,0.813119369755539
1.0,0.7943980050663528,0.3894388498635404,0.8040864650107864
