weights_E,C_mean,C_std,C_smoothed
0.0,0.8741814081914006,0.37644295981282283,0.8478654235776062
0.05,0.866448688949571,0.2708773267975945,0.8446245645272255
0.1,0.7604828523485836,0.3561199784984658,0.8417996993071267
0.15,0.8393494292998052,0.3384197709960644,0.8426090424506281
0.2,0.8967191863492289,0.2972649678503382,0.8473937165076517
0.25,0.8491569652684771,0.3641365228454875,0.8553033932366999
0.3,0.7686535971373676,0.4676595038200086,0.8660862624927821
0.35,0.9572287156983608,0.3751972032790816,0.8791304300956644
0.4,0.9187502120662847,0.30136209928117125,0.8925607667721679
0.45,0.8111956519875285,0.364585459943712,0.9037828753170538
0.5,1.0076689873380604,0.3742546968066834,0.9095304908616786
0.55,0.9138439336692296,0.29485422730148625,0.906001884463776
0.6,0.9423333071136094,0.2892862334661404,0.8915021710037213
0.65,0.857266869793424,0.2909214406294666,0.8697812122676736
0.7,0.8637426330280796,0.38281912383394,0.8496242268243768
0.75,0.6656714474031205,0.3296313722007504,0.8393577969330407
0.8,0.8955037500799662,0.4634605660912608,0.8406615627704074
0.85,0.8973643660153142,0.35845359380383235,0.8484567313318577
0.9,0.8706430960217609,0.4454632689597334,0.8568640109443171
0.95,0.7671069236063379,0.33877135013159854,0.8633095351003816
1.0,0.9399014197448169,0.3690955715352177,0.866967644324492
