Din,Dout,Cin,Channel
1.1792,0.11792000000000001,369800000.0,2.851461932982034e-05
1.1792,0.11792000000000001,369800000.0,2.105991057441195e-05
1.1792,0.11792000000000001,369800000.0,1.3398607007399258e-05
1.1792,0.11792000000000001,478000000.0,1.2954220175599181e-05
0.505,0.0505,250150000.0,6.767296752395157e-06
0.5188,0.05188000000000001,291300000.0,6.926866201057298e-06
0.5058,0.05058000000000001,245050000.0,6.707952782501351e-06
0.5238,0.05238000000000001,318650000.0,7.897132358200232e-06
0.5008,0.050080000000000006,203900000.0,8.629523032051973e-06
0.501,0.050100000000000006,201450000.0,7.812865339903893e-06
0.5,0.05,202500000.0,9.709316348373725e-06
0.5,0.05,201900000.0,5.956833091442695e-06
0.5,0.05,200000000.0,6.3581301624710495e-06
0.5,0.05,209000000.0,9.192015438228884e-06
0.5238,0.05238000000000001,205950000.0,8.499201259354098e-06
0.5008,0.050080000000000006,203800000.0,8.047619068287313e-06
0.5374,0.05374,316550000.0,6.414823807840201e-06
1.0994000000000002,0.10994000000000002,349850000.0,2.982089019750922e-06
0.556,0.05560000000000001,300500000.0,4.766633854391606e-06
0.5238,0.05238000000000001,205950000.0,7.584779110827107e-06
0.5688,0.05688,260700000.0,9.700985446955776e-06
1.0994000000000002,0.10994000000000002,349850000.0,7.398049807796053e-06
0.5238,0.05238000000000001,205950000.0,6.979959454748487e-06
0.5748,0.05748,227600000.0,6.633188217021455e-06
1.1532,0.11532,486000000.0,8.902024333682912e-06
0.5756,0.05756,222600000.0,1.0928907825706405e-05
1.0994000000000002,0.10994000000000002,349850000.0,4.89994710902318e-06
0.5752,0.05752000000000001,220600000.0,4.8991150630588615e-06
0.5238,0.05238000000000001,205950000.0,6.9770747229552e-06
0.5748,0.05748,218700000.0,4.716504492336486e-06
0.575,0.057499999999999996,218750000.0,9.735243628868025e-06
0.575,0.057499999999999996,218750000.0,3.248441719829722e-06
0.575,0.057499999999999996,218750000.0,6.979640647622149e-06
0.575,0.057499999999999996,218750000.0,4.006153103236077e-06
1.0994000000000002,0.10994000000000002,349850000.0,2.9873943495212142e-06
0.575,0.057499999999999996,218750000.0,7.041995574117925e-06
1.0158,0.10158,328950000.0,3.19611541347327e-06
1.0158,0.10158,328950000.0,6.321404688747354e-06
0.575,0.057499999999999996,218750000.0,4.523664711410623e-06
0.5238,0.05238000000000001,205950000.0,6.2509320192014625e-06
1.1236000000000002,0.11236000000000002,478600000.0,6.511870188725575e-06
0.9958,0.09958,323950000.0,4.621696297909591e-06
1.0994000000000002,0.10994000000000002,349850000.0,4.025784645353283e-06
0.5748,0.05748,218700000.0,6.787461206334142e-06
0.5748,0.05748,218700000.0,4.906826466344266e-06
0.5048,0.050480000000000004,201200000.0,6.554563893776642e-06
0.5048,0.050480000000000004,201200000.0,7.62141252160108e-06
0.5048,0.050480000000000004,201200000.0,5.894991728107743e-06
0.5048,0.050480000000000004,201200000.0,4.475315592274824e-06
0.5048,0.050480000000000004,201200000.0,1.2218478568263701e-05
